date,mean_precipitation,temperature_2m_max,temperature_2m_min,surface_net_solar_radiation_sum,temperature_2m_mean,cumulative_precipitation
2023-05-06,0.9853780269573065,27.27674255371096,18.09699401855471,13532100.0,295.8368682861328,0.0
2023-05-07,0.8484065532670115,28.292031860351585,19.854882812500023,15285312.0,297.2234573364258,0.0
2023-05-08,0.008040666575226396,28.649682617187523,19.765374755859398,17944840.0,297.35752868652344,0.0
2023-05-09,2.447152534795549,29.626748657226585,19.92322692871096,19096906.0,297.92498779296875,0.0
2023-05-10,7.493096589939796,27.70166931152346,19.289453125000023,15589742.0,296.6455612182617,0.0
2023-05-11,4.11600172509452,28.144891357421898,20.03400573730471,13209262.0,297.2394485473633,0.0
2023-05-12,26.482823491051022,27.236367797851585,19.640115356445335,8568518.0,296.58824157714844,0.0
2023-05-13,6.2928974628171375,28.949380493164085,20.120477294921898,18074784.0,297.68492889404297,0.0
2023-05-14,0.9619742631912231,30.605584716796898,19.97071228027346,20553606.0,298.43814849853516,0.0
2023-05-15,0.16302466383422143,31.138345336914085,21.077783203125023,20002036.0,299.25806427001953,0.0
2023-05-16,7.738614082370532,29.169976806640648,21.702264404296898,18784274.0,298.58612060546875,0.0
2023-05-17,2.2995412348336686,24.239358520507835,18.195611572265648,12400824.0,294.3674850463867,0.0
2023-05-18,0.08536875247955322,27.463662719726585,17.803338623046898,17632584.0,295.7835006713867,0.0
2023-05-19,0.15914440155029297,27.579583740234398,18.352014160156273,15267490.0,296.1157989501953,0.0
2023-05-20,19.150450825691223,26.60352478027346,16.709130859375023,16739064.0,294.8063278198242,0.0
2023-05-21,0.0,24.008020019531273,14.10846862792971,20638550.0,292.20824432373047,0.0
2023-05-22,0.0008583068797918258,26.727456665039085,15.670770263671898,22428328.0,294.34911346435547,0.0
2023-05-23,0.44307410712463025,26.506188964843773,17.814004516601585,16292918.0,295.31009674072266,0.0
2023-05-24,0.024516437008514913,27.090798950195335,15.889001464843773,21011990.0,294.63990020751953,0.0
2023-05-25,0.016048550605773926,27.975610351562523,17.949426269531273,19210470.0,296.1125183105469,0.0
2023-05-26,0.0013023612837059773,26.202569580078148,17.544641113281273,22952618.0,295.0236053466797,0.0
2023-05-27,1.2304186819847018,25.84467468261721,15.619836425781273,21868020.0,293.8822555541992,0.0
2023-05-28,0.16925879816653833,27.274209594726585,15.285974121093773,20212066.0,294.43009185791016,0.0
2023-05-29,0.0,28.024072265625023,15.64588317871096,23514982.0,294.98497772216797,0.0
2023-05-30,0.0008612870487922919,29.082543945312523,17.10474548339846,19295018.0,296.24364471435547,0.0
2023-05-31,0.0842362642288208,29.534387207031273,19.22236022949221,18958914.0,297.5283737182617,0.0
2023-06-01,0.2901494502971502,30.38343200683596,19.407586669921898,21341878.0,298.0455093383789,0.0
